"ID","IE","Inscription","Object Type","Inscription Type","Location","Low Date","High Date","Date","Date Span","Low Date Uncertain","High Date Uncertain","Notes"
"490","490","Statue Base for M. Iul. Apellas Marathonios, Archon of the Eumolpidai","Altar","Dedication","Before the Telestrion","165","175","170","10","FALSE","FALSE",""
"491","491","Statue Base for Fl. Xenion of Marathon, Archon of the Panhellenes","Altar","Dedication","","165","175","170","10","FALSE","FALSE",""
"493","493","Statue Base for Ael. Kephisodora, Daughter of Daduch Kl. Lysiades","Building or Monument","Dedication","","165","175","170","10","FALSE","FALSE",""
"492","492","Statue Base for Iul. Theodotos Meliteus, Son of Sophist Iul. Theodotos, Archon of the Kerykex","Altar","Dedication","Before the Telestrion","165","175","170","10","TRUE","TRUE",""
"494","494","Herm Honoring the Hierophant who Saved the Hiera During the Kostoboci Invasion","Building or Monument","Dedication","","171","181","176","10","FALSE","FALSE",""
"495","495","Statue Base for M. Aurelius","Base","Dedication","Before the Telestrion","172","175","173.5","3","FALSE","FALSE",""
"496","496","Statue Base for M. Aurelius","Base","Dedication","Outer Courtyard","172","180","176","8","FALSE","FALSE",""
"497","497","Statue Base for M. Aurelius(?)","Building or Monument","Dedication","","172","180","176","8","FALSE","TRUE",""
"498","498","Statue Base for Asklepios, Dedicated by Herodes","Building or Monument","Dedication","","175","175","175","0","FALSE","FALSE",""
"499","499","Dedicatory Architrave of the Greater Propylaea","Building or Monument","Dedication","","170","180","175","10","FALSE","FALSE",""
"500","500","Aedicula Block with Hierophant's Title","Base","Dedication","Outer Courtyard","170","180","175","10","TRUE","TRUE",""
"501","501","Statue Base for Iun. Melitine, Hierophantis","Base","Dedication","","175","200","187.5","25","TRUE","FALSE",""
"502","502","Statue Base for Isidote, Daughter of Isaios, Hierophantes","Base","Dedication","Before the Telestrion","176","192","184","16","FALSE","FALSE",""
"503","503","Statue Base for L. Memmios, Altar-Priest, of Thorikos","Other/Fragment","Dedication","Before the Telestrion","177","180","178.5","3","FALSE","FALSE",""
"504","504","Dedicatory Base for the Aparkhe","Base","Dedication","North of the Telesterion","177","189","183","12","TRUE","TRUE",""
"505","505","Statue Base for the Deified M. Aurelius","Base","Dedication","Outer Courtyard","180","182","181","2","FALSE","TRUE",""
"506","506","Statue Base for Lucilla, Daughter of M. Aurelius","Base","Dedication","Outer Courtyard","180","182","181","2","FALSE","TRUE",""
"507","507","Statue Base for Deified Faustina, Wife of M. Aurelius","Base","Dedication","","180","182","181","2","FALSE","TRUE",""
"508","508","Statue Base of Deified Faustina, Wife of M. Aurelius","Base","Dedication","Outer Courtyard","180","182","181","2","FALSE","TRUE",""
"509","509","Statue Base for Sabina, Daughter of M. Aurelius","Base","Dedication","Outer Courtyard","180","182","181","2","FALSE","TRUE",""
"510","510","Statue Base for Faustina, Daughter of M. Aurelius","Base","Dedication","Outer Courtyard","180","182","181","2","FALSE","TRUE",""
"512","512","Statue Base for Unknown Dedicated by Ael. Philiste","Base","Dedication","","180","185","182.5","5","TRUE","FALSE",""
"513","513","Letter by the Emperor Commodus to the Athenians Concern the Archonship of the Eumolpidai","Base","Epistle","","183","190","186.5","7","FALSE","FALSE",""
